                 pkg_name                 | pkg_size_mb | pkg_size  
------------------------------------------+-------------+-----------
 kernel-firmware                          |         415 | 435440052
 kernel-default                           |         296 | 310675540
 kernel-default                           |         234 | 246372031
 google-chrome-stable                     |         177 | 186251693
 MozillaThunderbird-translations-other    |         106 | 111936681
 marble-lang                              |          31 |  32724807
 efont-unicode-bitmap-fonts               |          29 |  31085159
 xorg-x11-fonts                           |          29 |  30833690
 desktop-translations                     |          28 |  29949263
 OpenPrintingPPDs-postscript              |          26 |  28021163
 vim-data                                 |          26 |  27543871
 digikam-doc                              |          25 |  26740736
 python-devel                             |          21 |  22342920
 myspell-en_US                            |          21 |  22255683
 oxygen5-icon-theme-large                 |          20 |  21766552
 digikam-lang                             |          20 |  21705786
 plasma5-desktop-lang                     |          20 |  21643567
 Mesa-dri-nouveau                         |          19 |  20691584
 libpurple-lang                           |          19 |  20475978
 gtk3-lang                                |          19 |  20201033
 google-talkplugin                        |          16 |  17423607
 gtk2-lang                                |          16 |  16799290
 manufacturer-PPDs                        |          15 |  16001852
 OpenPrintingPPDs-ghostscript             |          14 |  15438078
 oxygen5-cursors                          |          13 |  14480466
 iso-codes-lang                           |          12 |  13056507
 libqt5-qttranslations                    |          12 |  12631640
 poppler-data                             |          11 |  12058973
 dejavu-fonts                             |          11 |  11904655
 kio-lang                                 |          11 |  11848530
 plasma5-workspace-lang                   |          11 |  11609399
 swig-doc                                 |           9 |  10045862
 kdelibs4support-lang                     |           9 |   9789592
 brasero-lang                             |           9 |   9457301
 python3-pip                              |           9 |   9445241
 google-roboto-fonts                      |           8 |   8851551
 evince-lang                              |           8 |   8606668
 coreutils-lang                           |           8 |   8554174
 okular-lang                              |           8 |   8468530
 libKF5UnitConversion5-lang               |           8 |   8452700
 libKF5I18n5-lang                         |           7 |   8328950
 google-droid-fonts                       |           7 |   8177863
 glib2-lang                               |           7 |   7344034
 ktexteditor-lang                         |           6 |   7211555
 kdesvn                                   |           6 |   7060019
 shotwell-lang                            |           6 |   6733043
 kwin5-lang                               |           6 |   6586273
 xorg-x11-libX11-ccache                   |           6 |   6473299
 util-linux-lang                          |           6 |   6377570
 xorg-x11-server-extra                    |           5 |   6237294
 kate4-parts                              |           5 |   6071894
 libkde4-devel                            |           5 |   5984381
 unar                                     |           5 |   5983810
 libvdpau_nouveau                         |           5 |   5907472
 Mesa-libva                               |           5 |   5589936
 totem-lang                               |           5 |   5464372
 p7zip                                    |           5 |   5392933
 gnome-packagekit-lang                    |           5 |   5372565
 NetworkManager-lang                      |           5 |   5348234
 gconf2-lang                              |           5 |   5293650
